variant,simulation_id,ring,radius_mm,groove_overlap,ring_mass_flow_kg_s,ring_mass_flux_kg_m2s,ring_dp_Pa,groove_dp_Pa,outlet_gas_K
apparent_prescribed_v9,E70,8,8.039701565555527,1.0,2.713957093969706e-5,0.8041354352502825,189.36415909350802,0.0,712.3175689080863
apparent_prescribed_v9,E70,9,9.111661774296264,1.0,3.023671720746432e-5,0.790502410652662,184.4668785194603,0.0,710.2829593148225
apparent_prescribed_v9,E70,10,10.183621983037002,1.0,3.3138314778659485e-5,0.7751652579803386,179.03150216269833,0.0,707.9737481629337
apparent_prescribed_v9,E71,1,0.5359801043703685,0.0,1.5040713873529495e-6,0.6684761721568664,157.343633809008,0.0,735.4812188485286
apparent_prescribed_v9,E71,2,1.6079403131111056,0.0,4.503187477063482e-6,0.6671388854908861,156.861797113865,0.0,735.2073136641138
apparent_prescribed_v9,E71,3,2.6799005218518426,0.0,7.475223511787914e-6,0.6644643121589258,155.90034188785143,0.0,734.6589441726313
apparent_prescribed_v9,E71,4,3.7518607305925795,0.0,1.0402126121535517e-5,0.660452452160985,154.46368488975887,0.0,733.8349516523177
apparent_prescribed_v9,E71,5,4.8238209393333165,0.0,1.3265841936315547e-5,0.6551033054970642,152.5584034054192,0.0,732.733496684944
apparent_prescribed_v9,E71,6,5.895781148074053,0.0,1.6048317586137282e-5,0.648416872167163,150.19318079272185,0.0,731.3519371113871
apparent_prescribed_v9,E71,7,6.96774135681479,0.9409271337274929,1.873149970100998e-5,0.6403931521712817,147.37873872821422,0.0,729.6866644701374
apparent_prescribed_v9,E71,8,8.039701565555527,1.0,2.129733491094294e-5,0.63103214550942,144.1277601565207,0.0,727.7328980498339
apparent_prescribed_v9,E71,9,9.111661774296264,1.0,2.3727769845945362e-5,0.6203338521815782,140.4548078133988,0.0,725.484435407201
apparent_prescribed_v9,E71,10,10.183621983037002,1.0,2.600475113602658e-5,0.6082982721877561,136.37624409693458,0.0,722.9333581553095
apparent_prescribed_v9,E72,1,0.5359801043703685,0.0,3.8556433213095345e-6,1.7136192539153488,298.49394811444347,0.0,508.3898258679637
apparent_prescribed_v9,E72,2,1.6079403131111056,0.0,1.1543790319089538e-5,1.710191158383635,297.568573781698,0.0,508.2971819664871
apparent_prescribed_v9,E72,3,2.6799005218518426,0.0,1.9162518382352337e-5,1.7033349673202078,295.72231292910095,0.0,508.11173284658435
apparent_prescribed_v9,E72,4,3.7518607305925795,0.0,2.666554822141981e-5,1.693050680725067,292.9640985728547,0.0,507.8331330148679
apparent_prescribed_v9,E72,5,4.8238209393333165,0.0,3.40066005466138e-5,1.6793382985982126,289.30722612357283,0.0,507.4608070571432
apparent_prescribed_v9,E72,6,5.895781148074053,0.0,4.113939606825619e-5,1.6621978209396444,284.76923508349586,0.0,506.9938809263906
apparent_prescribed_v9,E72,7,6.96774135681479,0.9409271337274929,4.801765549666883e-5,1.6416292477493626,279.3717620324487,0.0,506.43109006144226
apparent_prescribed_v9,E72,8,8.039701565555527,1.0,5.459509954217369e-5,1.6176325790273673,273.1403734663097,0.0,505.77066393086403
apparent_prescribed_v9,E72,9,9.111661774296264,1.0,6.082544891509241e-5,1.590207814773658,266.10438849615565,0.0,505.0101862967548
apparent_prescribed_v9,E72,10,10.183621983037002,1.0,6.666242432574709e-5,1.5593549549882355,258.2967025352039,0.0,504.1464301113801
apparent_prescribed_v9,E73,1,0.5359801043703685,0.0,2.7742696730475192e-6,1.2330087435766752,228.41339444725605,0.0,562.3584892403647
apparent_prescribed_v9,E73,2,1.6079403131111056,0.0,8.306159238659154e-6,1.2305421094309856,227.71434253195457,0.0,562.2272190538479
apparent_prescribed_v9,E73,3,2.6799005218518426,0.0,1.3788099462820564e-5,1.2256088411396058,226.31948322509857,0.0,561.9643756992078
apparent_prescribed_v9,E73,4,3.7518607305925795,0.0,1.9186790784564952e-5,1.2182089387025363,224.23527687850506,0.0,561.5693264237705
apparent_prescribed_v9,E73,5,4.8238209393333165,0.0,2.4468933642925494e-5,1.2083424021197777,221.47134389545278,0.0,561.0410550306207
apparent_prescribed_v9,E73,6,5.895781148074053,0.0,2.9601228476935376e-5,1.1960092313913286,218.04038503154237,0.0,560.3780810958662
apparent_prescribed_v9,E73,7,6.96774135681479,0.9409271337274929,3.455037572562778e-5,1.1812094265171897,213.95808234108188,0.0,559.5783516465724
apparent_prescribed_v9,E73,8,8.039701565555527,1.0,3.928307582803598e-5,1.1639429874973615,209.24298656630398,0.0,558.6391045645355
apparent_prescribed_v9,E73,9,9.111661774296264,1.0,4.3766029223193e-5,1.1442099143318432,203.9163977949766,0.0,557.5567025590761
apparent_prescribed_v9,E73,10,10.183621983037002,1.0,4.796593635013218e-5,1.1220102070206355,198.00224705499892,0.0,556.3264360242484
apparent_prescribed_v9,E74,1,0.5359801043703685,0.0,1.8979296890656678e-6,0.8435243062514078,160.86745232466512,0.0,613.6525405706195
apparent_prescribed_v9,E74,2,1.6079403131111056,0.0,5.682398641456175e-6,0.841836835771285,160.3835883273912,0.0,613.4746524729582
