stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,side_solid_fraction,side_gas_heat_fraction,active_side_conductance_W_K_m,side_felt_contact_h_W_m2K,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
heating_shape,39,6.7623059489885335,1.4558224343246193,2.542428875917034,2.5262743299876154,1.707821841381672,0.483993608985758,0.15,0.0225,10.0,5.0,75.0,1.8,1.25,1.05,0.77
heating_shape,40,7.522711173556263,1.3718066716055055,2.4287225486663266,2.533429384523785,4.600489520241011,0.483993608985758,0.15,0.0225,10.0,5.0,150.0,0.75,1.25,1.05,0.77
heating_shape,41,7.434920445793705,1.3727577810869425,2.421549268857767,2.5439374871327276,4.259316162858209,0.483993608985758,0.15,0.0225,10.0,5.0,150.0,1.2,1.25,1.05,0.77
heating_shape,42,7.396582956164085,1.3692339622408798,2.4097228337613283,2.549149422985062,4.12903734941445,0.483993608985758,0.15,0.0225,10.0,5.0,150.0,1.8,1.25,1.05,0.77
heating_shape,43,7.944846883766275,1.3530332687015783,2.406211243108277,2.532869559876831,6.0954969927469635,0.483993608985758,0.15,0.0225,10.0,5.0,250.0,0.75,1.25,1.05,0.77
heating_shape,44,7.847542956531201,1.3524928586387732,2.395342122590227,2.542865701639862,5.733840347208958,0.483993608985758,0.15,0.0225,10.0,5.0,250.0,1.2,1.25,1.05,0.77
heating_shape,45,7.806218019213489,1.3480528012727262,2.3814524951465716,2.547428680084569,5.601965482590197,0.483993608985758,0.15,0.0225,10.0,5.0,250.0,1.8,1.25,1.05,0.77
heating_shape,46,8.141722346336179,1.3453366381264311,2.397019695131541,2.5314140115734554,6.79387325939074,0.483993608985758,0.15,0.0225,10.0,5.0,400.0,0.75,1.25,1.05,0.77
heating_shape,47,8.043964688167778,1.3440485399551316,2.3843965119604906,2.5418127412911136,6.432937593983167,0.483993608985758,0.15,0.0225,10.0,5.0,400.0,1.2,1.25,1.05,0.77
heating_shape,48,8.002023849247205,1.3390811697267742,2.3696181563978325,2.545590825055489,6.305580635083228,0.483993608985758,0.15,0.0225,10.0,5.0,400.0,1.8,1.25,1.05,0.77
heating_shape,49,14.763407260337988,1.5161443326757726,2.7318209012711177,4.633211833885736,16.965557626546435,0.7764632369766917,0.3,0.045,2.0,5.0,75.0,0.75,1.25,1.05,0.77
heating_shape,50,14.689606820066981,1.518451866046109,2.7286777578099373,4.655773892125682,16.602197233336742,0.7764632369766917,0.3,0.045,2.0,5.0,75.0,1.2,1.25,1.05,0.77
heating_shape,51,14.65711812116543,1.517492586562656,2.7226398288752316,4.666780044102803,16.448106337658842,0.7764632369766917,0.3,0.045,2.0,5.0,75.0,1.8,1.25,1.05,0.77
heating_shape,52,17.707884399310213,1.6261594018787304,2.988024799483736,4.65154182679067,26.065910663040043,0.7764632369766917,0.3,0.045,2.0,5.0,150.0,0.75,1.25,1.05,0.77
heating_shape,53,17.631219863537652,1.6276028355083543,2.9824808452110014,4.6828902557699426,25.65435257440913,0.7764632369766917,0.3,0.045,2.0,5.0,150.0,1.2,1.25,1.05,0.77
heating_shape,54,17.60193327548722,1.626027223652459,2.975092161516669,4.699279552683069,25.487424852889372,0.7764632369766917,0.3,0.045,2.0,5.0,150.0,1.8,1.25,1.05,0.77
heating_shape,55,18.955418646944135,1.6776681796491797,3.1037264377841205,4.647468570518236,29.957326872313395,0.7764632369766917,0.3,0.045,2.0,5.0,250.0,0.75,1.25,1.05,0.77
heating_shape,56,18.884108250844452,1.6791951978539639,3.0973934646048664,4.682420943402462,29.546106600056632,0.7764632369766917,0.3,0.045,2.0,5.0,250.0,1.2,1.25,1.05,0.77
heating_shape,57,18.858694108114594,1.6775636287638709,3.089497504618397,4.700185685388566,29.385903604646703,0.7764632369766917,0.3,0.045,2.0,5.0,250.0,1.8,1.25,1.05,0.77
heating_shape,58,19.45375319813824,1.6956792041188928,3.1448396267823866,4.643831510867652,31.535477403982707,0.7764632369766917,0.3,0.045,2.0,5.0,400.0,0.75,1.25,1.05,0.77
heating_shape,59,19.387478585133028,1.69710332029124,3.138206521649158,4.680539813606546,31.132906564829593,0.7764632369766917,0.3,0.045,2.0,5.0,400.0,1.2,1.25,1.05,0.77
heating_shape,60,19.36526316819513,1.695482136847052,3.1300399394610974,4.698915518571251,30.980547177215094,0.7764632369766917,0.3,0.045,2.0,5.0,400.0,1.8,1.25,1.05,0.77
heating_shape,61,7.025551435176948,1.433689662713385,2.5029415291823294,2.282471458585886,3.870690330821309,0.5121300531672864,0.3,0.045,10.0,5.0,75.0,0.75,1.25,1.05,0.77
heating_shape,62,6.970211163477987,1.4391872286604426,2.505089328673178,2.3041431460093533,3.5573913020597265,0.5121300531672864,0.3,0.045,10.0,5.0,75.0,1.2,1.25,1.05,0.77
heating_shape,63,6.941640130736894,1.4386049874729432,2.4997414611798305,2.3128380157454806,3.425968849027124,0.5121300531672864,0.3,0.045,10.0,5.0,75.0,1.8,1.25,1.05,0.77
