phase,simulation_id,time_s,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K
heating_training,E67,3300.0,790.0070397445373,947.1229999999999,781.077703166071,997.579,725.6064473838336,878.6089999999999,786.6677277270904,971.0,741.3412533152743,821.7379999999999,707.8606072538112,757.373,344.3700617565039,321.50699999999995
heating_training,E67,3350.0,790.0953132727899,945.468,781.2084564456824,997.482,725.886298036852,878.8199999999999,786.8068281182966,970.9019999999999,741.5763864425035,822.167,708.1952402446663,758.0419999999999,344.6465961305816,321.94399999999996
heating_training,E67,3400.0,790.1341240267557,942.838,781.3369869697591,996.877,726.1733066161055,879.087,786.9206293733621,970.444,741.8363328162055,822.624,708.5392472437616,758.7639999999999,344.91484160035134,322.38899999999995
heating_training,E67,3450.0,790.1566816324276,944.692,781.4366756494088,996.117,726.4482254405472,879.1039999999999,786.9637395732844,969.77,742.0540431377677,822.9069999999999,708.8747211126861,759.396,345.1751109395275,322.77299999999997
heating_training,E67,3500.0,790.1816542676409,943.771,781.5271741484809,996.322,726.70727805346,879.177,787.0135135788996,969.855,742.2429859790248,823.1519999999999,709.1936061106358,759.736,345.42766566230836,323.16999999999996
heating_training,E67,3550.0,790.229426198869,944.607,781.6188467781024,996.293,726.9564720086897,879.411,787.0884238337977,969.709,742.4251830179204,823.495,709.5004469583921,760.3009999999999,345.6728423377856,323.56399999999996
heating_training,E67,3600.0,790.2470950527669,944.8389999999999,781.7113466645156,997.088,727.2077534968652,879.794,787.1639073887947,970.3489999999999,742.6326564384677,823.967,709.8100862722424,760.7919999999999,345.9110833115163,323.986
heating_training,E67,3650.0,790.2643386404854,943.7909999999999,781.7867321094776,997.481,727.4505879136251,880.332,787.201275212336,970.731,742.8183743602762,824.55,710.1132266350274,761.45,346.14282398429555,324.371
heating_training,E67,3700.0,790.3311931228956,944.542,781.8727548088301,996.97,727.6841406029905,880.832,787.2909563557745,970.539,742.9913360704749,825.101,710.4031008536272,762.155,346.3684414076325,324.76599999999996
heating_training,E67,3750.0,790.4068326550175,943.56,781.9824304372481,995.617,727.9269426692921,880.688,787.4324173607739,969.3439999999999,743.2047859549384,825.312,710.6989567352047,762.6869999999999,346.58825290017614,325.17199999999997
heating_training,E67,3800.0,790.4567622314304,944.3199999999999,782.0905400791179,995.655,728.1794877272432,880.5079999999999,787.5409454443283,969.244,743.4378912789131,825.357,711.0065333802581,763.005,346.8024648782873,325.522
heating_training,E67,3850.0,790.4721548353123,940.545,782.1796201217745,994.0799999999999,728.4291833045547,880.6419999999999,787.5919570373321,968.088,743.6523946710532,825.591,711.3150003595596,763.524,347.0113017937883,325.881
heating_training,E67,3900.0,790.4971869457368,939.569,782.2527132266882,992.978,728.663795519371,879.994,787.6239887970677,966.722,743.8251282762893,825.341,711.6089012278211,763.718,347.2150322910112,326.238
heating_training,E67,3929.0,790.4975713841648,931.6279999999999,782.2919187330434,991.103,728.7905797813415,878.055,787.6436865836218,966.6659999999999,743.9153233348729,824.995,711.7685893332383,763.414,347.3309392517721,326.43699999999995
heating_validation,E68,0.0,293.44449999999995,294.839,293.44449999999995,293.585,293.44449999999995,293.493,293.44449999999995,293.60699999999997,293.44449999999995,293.66999999999996,293.44450000000006,293.688,293.44449999999995,293.464
heating_validation,E68,50.0,380.28392938981125,395.04499999999996,330.6851246978802,350.197,306.40700967030546,307.61699999999996,390.0229819765676,319.7,327.5924388326307,299.80699999999996,302.98435879267817,298.01399999999995,293.4456555287332,293.45799999999997
heating_validation,E68,100.0,466.8383831113839,552.832,387.74151667449183,472.90599999999995,339.2089678003321,368.618,500.8909671324742,416.08799999999997,398.9867936284904,342.68899999999996,331.48480046758937,321.91999999999996,293.4522818183448,293.453
heating_validation,E68,150.0,543.0410935233442,675.702,450.31959978261085,577.13,382.96010993427166,425.735,593.8884250059476,511.938,475.96577956017705,389.541,371.22438067733765,344.582,293.4679758293761,293.471
heating_validation,E68,200.0,607.0089514080055,766.255,510.8458352308433,661.876,430.446897372427,473.04699999999997,664.0567285381165,595.0799999999999,544.0217561701321,429.431,415.2907616074828,364.28999999999996,293.50416988824054,293.491
heating_validation,E68,250.0,659.3711868431116,835.5649999999999,565.6389796031568,735.066,476.94829153549597,515.683,714.5488281145994,670.4159999999999,598.8272268565917,465.121,459.02365172872845,380.299,293.5842842083772,293.53299999999996
heating_validation,E68,300.0,701.6407121223605,881.4789999999999,613.3252955596332,788.904,519.7948296080351,549.395,750.1616559542567,727.527,640.7851441602054,494.042,499.6942279127218,400.67499999999995,293.74086476996615,293.561
heating_validation,E68,350.0,735.4919398159585,916.164,653.8332297387249,831.0559999999999,557.7781621659667,577.912,775.2654877613766,773.017,672.1013689549117,519.087,535.9878191881248,417.221,294.00936236714426,293.60799999999995
heating_validation,E68,400.0,762.4106360509023,942.081,687.7098398236316,867.308,590.626039202178,604.1379999999999,793.1334680306614,812.697,695.3184598962558,541.9739999999999,567.5306112554306,433.42499999999995,294.421809839785,293.654
heating_validation,E68,450.0,783.772939812769,960.31,715.7411280362469,894.127,618.5619510615544,625.505,806.0294818242671,842.568,712.5669309165372,560.814,594.4601880012387,449.365,295.00220983788915,293.719
heating_validation,E68,500.0,800.668741050015,975.043,738.7965772180671,916.249,642.0693102220112,644.059,815.562067291137,867.606,725.5474592711516,577.731,617.1906423935243,465.08299999999997,295.7642757554879,293.77299999999997
heating_validation,E68,550.0,814.0048925637388,987.1809999999999,757.67441090169,935.992,661.7197341065952,662.0509999999999,822.7291476418678,889.398,735.4796867372021,594.005,636.2437651923896,481.10799999999995,296.71113431497884,293.87899999999996
heating_validation,E68,600.0,824.5913759854361,995.86,773.108153778799,950.818,678.074029781903,677.008,828.266297900362,906.635,743.1947903743685,607.8820000000001,652.1366089587026,494.669,297.8365306389057,293.94599999999997
heating_validation,E68,650.0,833.0084163737376,1001.882,785.7503995171846,963.369,691.6733771381033,690.625,832.7086076302573,921.51,749.3473026065293,620.785,665.3767051959773,508.187,299.1266983960705,294.063
heating_validation,E68,700.0,839.7005447171862,1008.092,796.1212963066182,974.073,702.9989976288518,703.0319999999999,836.3289979558659,934.0029999999999,754.3820506789316,632.66,676.4247645444523,520.0699999999999,300.5626262603875,294.202
heating_validation,E68,750.0,845.0962167782923,1014.1949999999999,804.6585903801143,984.3729999999999,712.4475459639774,715.1869999999999,839.3538242405209,945.99,758.5603517378413,644.352,685.6576461634533,531.421,302.12218808746024,294.36199999999997
heating_validation,E68,800.0,849.4299581326887,1016.922,811.734255924628,992.417,720.3716727395555,725.847,841.9670731444188,955.442,762.1387510534696,654.643,693.414402991668,541.423,303.78189845708664,294.544
heating_validation,E68,850.0,852.9466663775772,1021.178,817.6166431925808,999.259,727.0512434078074,735.652,844.208727729919,963.351,765.2378536103452,664.125,699.9670200175464,551.072,305.518371719299,294.762
heating_validation,E68,900.0,855.7981894605957,1023.201,822.5429546193479,1005.557,732.7172195942795,745.316,846.1802218769963,970.703,767.9689267044478,673.9639999999999,705.5384088579445,561.0989999999999,307.30938475311405,295.02
heating_validation,E68,950.0,858.0558423434467,1025.897,826.6740309383914,1010.572,737.5603165952616,753.717,847.8668372444894,976.497,770.4137233026479,682.37,710.3186243413851,570.2429999999999,309.13451640843743,295.303
heating_validation,E68,1000.0,859.9439762879961,1026.396,830.146887659255,1015.091,741.7055013565762,761.5989999999999,849.3150243027173,981.7719999999999,772.5410220372235,690.374,714.4240334993763,579.226,310.97558699144736,295.60699999999997
heating_validation,E68,1050.0,861.5122031408554,1027.413,833.1208797392924,1018.453,745.2854544109193,768.923,850.6742828805151,985.965,774.4619749474136,697.924,717.9783357458631,587.683,312.8165760895303,295.924
heating_validation,E68,1100.0,862.802459720051,1027.013,835.6720469550181,1022.05,748.4095609165944,776.098,851.885315169449,990.1129999999999,776.2253775892079,705.4259999999999,721.0919672840444,596.165,314.643743213271,296.29999999999995
heating_validation,E68,1150.0,863.9033026006912,1028.73,837.8768437965738,1024.893,751.1500828827308,782.4590000000001,852.9810765560852,993.514,777.8263277689797,712.0840000000001,723.8334571035921,603.776,316.445691184352,296.671
heating_validation,E68,1200.0,864.8209742540066,1028.179,839.8040077869052,1027.579,753.5784547632298,788.486,853.9950944915807,996.617,779.3137012597367,718.473,726.2723419714811,611.028,318.2130762392328,297.075
heating_validation,E68,1250.0,865.5410964521486,1029.731,841.4795112323848,1029.9560000000001,755.7492995783671,794.54,854.8716000082326,999.439,780.7021996448876,724.93,728.4666233863963,618.469,319.93855150754683,297.543
heating_validation,E68,1300.0,866.1701920993809,1029.464,842.9354505835284,1031.835,757.6859298655065,799.831,855.6313052434135,1001.6569999999999,781.944670936974,730.614,730.4360207280737,625.131,321.61654706055094,298.01399999999995
heating_validation,E68,1350.0,866.7149890444263,1030.103,844.2333614124375,1033.409,759.4293689752179,804.7049999999999,856.3694628796566,1003.528,783.0979352572779,736.0039999999999,732.2165676001555,631.488,323.24310971524403,298.51399999999995
heating_validation,E68,1400.0,867.2380825707818,1029.7350000000001,845.4013150358503,1035.338,761.0118981088132,809.6419999999999,857.0781322309007,1005.683,784.1722333073935,741.509,733.8383412220826,638.159,324.8155383757153,299.08299999999997
