variant,simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
fitted_energy_accounting,E78,heating,T12_perim,173.3423889647366,-182.5531859815992,450.0,0.0002191075856739342
fitted_energy_accounting,E78,heating,T11_perim,140.3656060559378,-156.43496424918925,450.0,0.0001539318913475148
fitted_energy_accounting,E78,heating,T9_core,160.43466460470654,-172.90442892104585,350.0,0.0001511896170796194
fitted_energy_accounting,E78,heating,T10_core,122.97821852572027,-142.21836399255648,350.0,0.00010648302792590215
fitted_energy_accounting,E78,heating,T3,108.18736546509601,-129.4540643056671,350.0,6.821973825510227e-5
fitted_energy_accounting,E78,heating,T2,11.99094797791712,17.7295405753585,-100.0,9.684072022900308e-5
fitted_energy_accounting,E79,heating,T8,100.08579238559051,-107.97658066326267,-150.0,5.253166514130209e-5
fitted_energy_accounting,E79,heating,T12_perim,186.99455347151235,-197.39921506820554,400.0,0.0002081317119207244
fitted_energy_accounting,E79,heating,T11_perim,141.4575439629403,-160.86078531535082,400.0,0.0001381739980442899
fitted_energy_accounting,E79,heating,T9_core,174.96503634149366,-188.70199010848,300.0,0.0001515128093993808
fitted_energy_accounting,E79,heating,T10_core,126.69988689139865,-148.92695363408922,300.0,9.941580573074448e-5
fitted_energy_accounting,E79,heating,T3,106.41916852753307,-130.55842290458293,250.0,6.206982834609901e-5
fitted_energy_accounting,E79,heating,T2,12.435938132129595,18.160933532703723,-150.0,0.0001639325258467131
fitted_energy_accounting,E80,heating,T8,102.6577539036613,-109.60643195922694,-150.0,3.3552654926402376e-5
fitted_energy_accounting,E80,heating,T12_perim,194.3525422543289,-204.89467995890936,500.0,0.00016363700280006
fitted_energy_accounting,E80,heating,T11_perim,141.4114865268124,-161.15501616178136,450.0,0.00010057024805317149
fitted_energy_accounting,E80,heating,T9_core,183.72269227160388,-197.29874258759685,450.0,0.00012316557119949022
fitted_energy_accounting,E80,heating,T10_core,128.88942838740095,-151.42388074742445,350.0,7.526602529368497e-5
fitted_energy_accounting,E80,heating,T3,104.89172575659353,-128.73867613674548,300.0,4.471621712298425e-5
fitted_energy_accounting,E80,heating,T2,12.852984928287542,18.65828995609138,-150.0,7.016050981862478e-5
fitted_energy_accounting,E81,heating,T8,91.52634403570342,-97.61658305072751,-150.0,1.9848050117721402e-5
fitted_energy_accounting,E81,heating,T12_perim,190.08940196329624,-201.13290505010548,500.0,0.00014169724343812356
fitted_energy_accounting,E81,heating,T11_perim,127.60014107057488,-147.2311714662183,400.0,8.22734329618126e-5
fitted_energy_accounting,E81,heating,T9_core,183.32232819904772,-197.24361688115687,550.0,0.0001120016022841168
fitted_energy_accounting,E81,heating,T10_core,119.47976934602376,-141.56617485685052,400.0,6.369157991199695e-5
fitted_energy_accounting,E81,heating,T3,89.9186646949184,-112.56980860406611,300.0,3.358086317699959e-5
fitted_energy_accounting,E81,heating,T2,13.785251046564488,20.116257416093674,-100.0,8.738056232012652e-5
fitted_energy_accounting,C69,cooling,T8,33.80614324121011,-1.1792181729518347,0.0,0.0005337629044816719
