stage,evaluation,rmse_mbar,hydraulic_resistance_scale,groove_loss_coefficient
refinement,219,0.07500216286080864,1.0,275.0
refinement,220,0.07821940730353247,1.0,285.0
refinement,221,0.08133479190798512,1.0,295.0
refinement,222,0.08435261708200593,1.0,305.0
refinement,223,0.08727724896798848,1.0,315.0
refinement,224,0.09011288526163375,1.0,325.0
refinement,225,0.0928636078813073,1.0,335.0
refinement,226,0.095533260758556,1.0,345.0
refinement,227,0.09812566409694189,1.0,355.0
refinement,228,0.10064439239245668,1.0,365.0
refinement,229,0.10309271313109145,1.0,375.0
refinement,230,0.10547388042512505,1.0,385.0
refinement,231,0.10779085823536011,1.0,395.0
refinement,232,0.11004647529981536,1.0,405.0
refinement,233,0.1122434034012692,1.0,415.0
refinement,234,0.11438416371224051,1.0,425.0
refinement,235,0.09508728504753178,1.0499999999999998,275.0
refinement,236,0.09853868371191526,1.0499999999999998,285.0
refinement,237,0.10187508465274082,1.0499999999999998,295.0
refinement,238,0.10510253925015005,1.0499999999999998,305.0
refinement,239,0.10822674199138965,1.0499999999999998,315.0
refinement,240,0.11125299860699085,1.0499999999999998,325.0
refinement,241,0.1141863877279545,1.0499999999999998,335.0
refinement,242,0.11703155693328071,1.0499999999999998,345.0
refinement,243,0.11979281588876262,1.0499999999999998,355.0
refinement,244,0.12247440416093719,1.0499999999999998,365.0
refinement,245,0.12508003232294854,1.0499999999999998,375.0
refinement,246,0.1276133953032118,1.0499999999999998,385.0
refinement,247,0.13007775926486922,1.0499999999999998,395.0
refinement,248,0.13247635599548496,1.0499999999999998,405.0
refinement,249,0.13481210676657432,1.0499999999999998,415.0
refinement,250,0.1370877822292509,1.0499999999999998,425.0
refinement,251,0.11524100653455274,1.0999999999999999,275.0
refinement,252,0.11889802902269701,1.0999999999999999,285.0
refinement,253,0.12243119935809728,1.0999999999999999,295.0
refinement,254,0.12584747323505294,1.0999999999999999,305.0
refinement,255,0.12915327940486127,1.0999999999999999,315.0
refinement,256,0.1323545860645996,1.0999999999999999,325.0
refinement,257,0.1354568872027221,1.0999999999999999,335.0
refinement,258,0.13846541338250842,1.0999999999999999,345.0
refinement,259,0.14138490319795013,1.0999999999999999,355.0
refinement,260,0.14421980621406033,1.0999999999999999,365.0
refinement,261,0.14697419340051737,1.0999999999999999,375.0
refinement,262,0.14965202288877805,1.0999999999999999,385.0
refinement,263,0.1522569421830258,1.0999999999999999,395.0
refinement,264,0.15479227169593765,1.0999999999999999,405.0
refinement,265,0.15726112553591298,1.0999999999999999,415.0
refinement,266,0.15966654709895894,1.0999999999999999,425.0
refinement,267,0.13533874011350563,1.15,275.0
refinement,268,0.13918721679183613,1.15,285.0
refinement,269,0.14290491580568654,1.15,295.0
refinement,270,0.14649930328862903,1.15,305.0
refinement,271,0.14997731286469018,1.15,315.0
refinement,272,0.15334532445619034,1.15,325.0
refinement,273,0.15660924427209438,1.15,335.0
refinement,274,0.15977454143757205,1.15,345.0
refinement,275,0.16284623689577996,1.15,355.0
refinement,276,0.16582914136742571,1.15,365.0
refinement,277,0.1687275860229015,1.15,375.0
refinement,278,0.17154565089628843,1.15,385.0
refinement,279,0.1742870637551837,1.15,395.0
refinement,280,0.17695547318990226,1.15,405.0
refinement,281,0.17955424266316292,1.15,415.0
refinement,282,0.18208642588261964,1.15,425.0
