stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,lateral_conductivity_scale,edge_felt_contact_scale,beam_sigma_mm,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
shape,79,8.100693956945682,1.5891962222138953,2.68608682712363,2.4147612781405035,1.9916970273513321,0.5572800442165812,0.2,1.0,100.0,100.0,0.75,1.25,1.05,0.77
shape,80,8.169998697256156,1.5996744677539434,2.6938537709592265,2.4730869268175937,1.791180741569888,0.5572800442165812,0.2,1.0,100.0,100.0,1.2,1.25,1.05,0.77
shape,81,8.20032610890646,1.6006823948202333,2.689174508025283,2.501051415092128,1.7071616979536466,0.5572800442165812,0.2,1.0,100.0,100.0,1.8,1.25,1.05,0.77
shape,82,8.355846262391486,1.5410314550970763,2.6110136980620937,2.43034829934872,2.9739135902335017,0.5572800442165812,0.2,1.0,100.0,150.0,0.75,1.25,1.05,0.77
shape,83,8.408699634091684,1.54934105657924,2.6137145031791045,2.488298823516205,2.73335519139337,0.5572800442165812,0.2,1.0,100.0,150.0,1.2,1.25,1.05,0.77
shape,84,8.432852774589552,1.5490913003084072,2.606603962791267,2.516419989634219,2.63433428022345,0.5572800442165812,0.2,1.0,100.0,150.0,1.8,1.25,1.05,0.77
shape,85,8.634502182016726,1.5105420914169883,2.565747883422983,2.4348719295933847,4.019506147592609,0.5572800442165812,0.2,1.0,100.0,250.0,0.75,1.25,1.05,0.77
shape,86,8.67905511958059,1.5171837320383286,2.564893303489526,2.492706337680472,3.7611689967538933,0.5572800442165812,0.2,1.0,100.0,250.0,1.2,1.25,1.05,0.77
shape,87,8.70006875130897,1.5161214858805225,2.555665449508175,2.520485694644292,3.6587873972637315,0.5572800442165812,0.2,1.0,100.0,250.0,1.8,1.25,1.05,0.77
shape,88,8.770384440244316,1.4974863157924256,2.5466355125508677,2.4347493693599223,4.535895699528315,0.5572800442165812,0.2,1.0,100.0,400.0,0.75,1.25,1.05,0.77
shape,89,8.815257548803869,1.5033501706785155,2.5442297633835897,2.4932011987949085,4.278653431373896,0.5572800442165812,0.2,1.0,100.0,400.0,1.2,1.25,1.05,0.77
shape,90,8.834859868252035,1.5016561113315183,2.5333790042840576,2.52044358113895,4.178876237497026,0.5572800442165812,0.2,1.0,100.0,400.0,1.8,1.25,1.05,0.77
shape,91,18.902719950573537,2.5321396830995564,4.0855231064912765,7.053950412215645,1.7226656808009955,1.0404456137100218,0.05,0.3,30.0,50.0,0.75,1.25,1.05,0.77
shape,92,18.61854284587477,2.5759295122949646,4.152361471827964,6.8862799769538805,1.6804071042288182,1.0404456137100218,0.05,0.3,30.0,50.0,1.2,1.25,1.05,0.77
shape,93,18.424871224403475,2.5921819447031123,4.175288290983774,6.780101418975251,1.6655904919990627,1.0404456137100218,0.05,0.3,30.0,50.0,1.8,1.25,1.05,0.77
