equivalent_strength,exponent,raw_coefficient,reference_reynolds,simulation_id,irradiance_kW_m2,mean_flow_lpm,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,model_T3_K,observed_T3_K,front_to_gas_W,mean_front_h_W_m2K,mean_gas_preheat_K,mass_flow_kg_s,dp1_model_mbar,dp1_observed_mbar
2.0,1.25,0.07974600925792995,73.41104097978786,E75,304.0,6.944410852713178,-74.96204896595623,-29.036000000000058,-1.6100306407947755,25.510999999999967,-0.9303967797044379,31.284999999999968,670.9861202940745,681.066,14.591123989071432,162.57229591602695,99.6672198725884,0.0001389184238282461,0.6966300436083684,0.651
2.0,1.25,0.07974600925792995,73.41104097978786,E76,304.0,4.526673611111114,-104.24416790826808,-97.221,-2.1588235476460795,23.119000000000028,-1.19476683791072,24.84999999999991,695.8475116283182,647.019,10.494184006499705,95.57570599583678,109.65825371459312,9.081819469341913e-5,0.22630976150344007,0.174
2.0,1.25,0.07974600925792995,73.41104097978786,E77,256.0,13.84748387096774,-4.4408183909799845,57.805999999999926,-0.29261228074801693,20.920999999999935,-0.20125732092236603,30.572000000000003,433.4475425749032,525.356,9.363534645902174,385.3576799946805,32.04961266067514,0.00027711654472435665,0.8580176907531362,0.978
2.0,1.25,0.07974600925792995,73.41104097978786,E78,256.0,10.009137614678897,-20.534537458955697,54.129999999999995,-0.40716791099885086,22.18399999999997,-0.2662515978399824,28.388000000000034,470.34708958643085,554.4549999999999,8.97198352273561,256.7779541883381,42.47295701707442,0.0002003242487927985,0.5330181487024784,0.637
2.0,1.25,0.07974600925792995,73.41104097978786,E79,256.0,8.033490566037736,-35.501592420184465,39.89499999999998,-0.5116269221149423,22.04499999999996,-0.32368854660353463,26.559000000000083,493.5912422172679,560.0329999999999,8.502556038854935,195.29160336032317,50.13572520697034,0.00016086765484359764,0.3435265277153443,0.403
2.0,1.25,0.07974600925792995,73.41104097978786,E80,256.0,6.605050847457628,-50.78742963079469,25.01699999999994,-0.6224246365497947,22.118000000000052,-0.38211630870216595,24.714999999999918,513.4507077064395,561.2539999999999,7.896568082771127,152.71851284787547,56.69016275099163,0.00013213557121730338,0.19742543788928024,0.238
2.0,1.25,0.07974600925792995,73.41104097978786,E81,256.0,4.527140495867768,-79.82589349763327,-10.158999999999878,-0.8617126959967436,21.39800000000014,-0.5017148927811377,21.208999999999946,543.4472684611575,550.499,6.372136593248031,95.03297196450072,66.82864087242987,9.043803481256982e-5,-0.03807041066379713,-0.023
2.0,1.5,0.027243858325761337,73.41104097978786,E67,456.0,15.2805125,7.478464273181771,59.47500000000002,-1.2729346251628613,24.437000000000012,-0.8057487601648745,53.059999999999945,656.2850171132303,763.414,30.091758719859364,486.69551083594826,93.6614621260715,0.0003060287040836849,2.802850030694765,2.712
2.0,1.5,0.027243858325761337,73.41104097978786,E68,456.0,12.499871559633025,-19.40775402948259,35.0680000000001,-1.6115189877658622,26.7890000000001,-0.9853018681681078,48.652000000000044,703.5553892767645,773.207,27.737455975044565,358.52113185271594,105.64521048372644,0.00025000514269536727,2.313671418333012,2.004
2.0,1.5,0.027243858325761337,73.41104097978786,E69,456.0,10.499733944954128,-44.432605940871326,12.30099999999993,-1.9389589802552791,26.35200000000009,-1.1521253997764234,43.918000000000006,736.0656044201096,769.76,25.27791749363479,277.11950133409294,114.50481838840649,0.00021028843935400635,1.899341635769657,1.542
2.0,1.5,0.027243858325761337,73.41104097978786,E70,456.0,9.107139705882352,-63.97381105109844,-32.19699999999989,-2.225608360497745,26.552000000000135,-1.2923249784786321,40.690000000000055,759.0131783300196,779.518,22.71287623297396,222.95165792137428,118.72437003963569,0.00018217661658593987,1.5851694168204045,1.314
2.0,1.5,0.027243858325761337,73.41104097978786,E71,456.0,7.126846153846151,-90.63473757474662,-82.95000000000005,-2.720057119382318,25.041999999999916,-1.5244241879347555,35.34699999999998,783.3986312530379,753.56,18.236635812831796,154.72656766288088,121.45462127920072,0.00014296012361411756,1.0947255756968737,0.825
2.0,1.5,0.027243858325761337,73.41104097978786,E72,304.0,18.707575757575754,17.34492340858435,60.24300000000005,-0.5631299628439592,26.787000000000035,-0.3784057470697917,49.79000000000008,512.3722916988663,652.9549999999999,21.07393194831779,637.7398183749767,54.75879687690453,0.0003664741251387232,2.251956382398541,2.485
2.0,1.5,0.027243858325761337,73.41104097978786,E73,304.0,13.170870967741934,-7.245030426733138,56.78800000000001,-0.8233815137065221,26.93100000000004,-0.5256233141918756,44.360000000000014,572.8052584825655,694.626,19.51026039915562,389.0305796994612,70.45532833368097,0.000263690898405942,1.6397651400105233,1.827
2.0,1.5,0.027243858325761337,73.41104097978786,E74,304.0,9.023245901639344,-51.30238434313651,13.971000000000004,-1.2590377707646212,27.01800000000003,-0.7537349408429463,36.19900000000007,636.7811010173665,697.672,16.394048561253395,220.22431328738216,86.55694355749146,0.00018039586767038267,1.0430705184650844,1.071
