time,hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
164,0.045555556,570.898,293.487,350.706,294.617,291.884,298.293,298.109,704.055,537.137,401.675,440.089,603.235,293.658,293.44,293.546,293.428
165,0.045833333,570.898,293.487,350.706,294.617,291.884,298.293,298.109,704.055,537.137,401.675,440.089,603.235,293.658,293.44,293.546,293.428
166,0.046111111,576.498,293.484,352.265,294.679,291.912,298.306,298.099,710.605,543.257,404.598,443.495,609.494,293.667,293.445,293.538,293.434
167,0.046388889,576.498,293.484,352.265,294.679,291.912,298.306,298.099,710.605,543.257,404.598,443.495,609.494,293.667,293.445,293.538,293.434
168,0.046666667,576.498,293.484,352.265,294.679,291.912,298.306,298.099,710.605,543.257,404.598,443.495,609.494,293.667,293.445,293.538,293.434
169,0.046944444,581.75,293.486,353.751,294.737,291.905,298.306,298.102,716.972,549.304,407.502,446.912,615.672,293.663,293.443,293.542,293.435
170,0.047222222,581.75,293.486,353.751,294.737,291.905,298.306,298.102,716.972,549.304,407.502,446.912,615.672,293.663,293.443,293.542,293.435
171,0.0475,581.75,293.486,353.751,294.737,291.905,298.306,298.102,716.972,549.304,407.502,446.912,615.672,293.663,293.443,293.542,293.435
172,0.047777778,581.75,293.486,353.751,294.737,291.905,298.306,298.102,716.972,549.304,407.502,446.912,615.672,293.663,293.443,293.542,293.435
173,0.048055556,587.203,293.477,355.095,294.78,291.923,298.297,298.102,723.67,555.258,410.356,450.258,621.655,293.675,293.442,293.535,293.431
174,0.048333333,587.203,293.477,355.095,294.78,291.923,298.297,298.102,723.67,555.258,410.356,450.258,621.655,293.675,293.442,293.535,293.431
175,0.048611111,587.203,293.477,355.095,294.78,291.923,298.297,298.102,723.67,555.258,410.356,450.258,621.655,293.675,293.442,293.535,293.431
176,0.048888889,592.299,293.488,356.507,294.853,291.949,298.303,298.104,730.369,561.154,413.202,453.626,627.624,293.692,293.456,293.555,293.444
177,0.049166667,592.299,293.488,356.507,294.853,291.949,298.303,298.104,730.369,561.154,413.202,453.626,627.624,293.692,293.456,293.555,293.444
178,0.049444444,592.299,293.488,356.507,294.853,291.949,298.303,298.104,730.369,561.154,413.202,453.626,627.624,293.692,293.456,293.555,293.444
179,0.049722222,592.299,293.488,356.507,294.853,291.949,298.303,298.104,730.369,561.154,413.202,453.626,627.624,293.692,293.456,293.555,293.444
180,0.05,597.215,293.492,357.782,294.917,291.961,298.292,298.111,736.634,566.986,415.986,456.962,633.486,293.698,293.461,293.547,293.445
181,0.050277778,597.215,293.492,357.782,294.917,291.961,298.292,298.111,736.634,566.986,415.986,456.962,633.486,293.698,293.461,293.547,293.445
182,0.050555556,597.215,293.492,357.782,294.917,291.961,298.292,298.111,736.634,566.986,415.986,456.962,633.486,293.698,293.461,293.547,293.445
183,0.050833333,602.177,293.483,359.146,294.974,292.004,298.298,298.103,742.825,572.725,418.75,460.265,639.304,293.704,293.476,293.562,293.444
184,0.051111111,602.177,293.483,359.146,294.974,292.004,298.298,298.103,742.825,572.725,418.75,460.265,639.304,293.704,293.476,293.562,293.444
185,0.051388889,602.177,293.483,359.146,294.974,292.004,298.298,298.103,742.825,572.725,418.75,460.265,639.304,293.704,293.476,293.562,293.444
186,0.051666667,602.177,293.483,359.146,294.974,292.004,298.298,298.103,742.825,572.725,418.75,460.265,639.304,293.704,293.476,293.562,293.444
187,0.051944444,607.312,293.483,360.388,295.046,292.008,298.303,298.103,749.208,578.405,421.479,463.56,645.104,293.707,293.48,293.553,293.454
188,0.052222222,607.312,293.483,360.388,295.046,292.008,298.303,298.103,749.208,578.405,421.479,463.56,645.104,293.707,293.48,293.553,293.454
189,0.0525,607.312,293.483,360.388,295.046,292.008,298.303,298.103,749.208,578.405,421.479,463.56,645.104,293.707,293.48,293.553,293.454
190,0.052777778,612.454,293.505,361.645,295.115,292.049,298.308,298.12,755.354,583.997,424.164,466.73,650.715,293.722,293.498,293.562,293.469
