time,hour,T2,T3,T8,T9,T10,T11,T12,T13
212,0.058888889,293.507,384.22,768.528,640.871,460.281,512.705,698.357,293.788
213,0.059166667,293.507,384.22,768.528,640.871,460.281,512.705,698.357,293.788
214,0.059444444,293.507,384.22,768.528,640.871,460.281,512.705,698.357,293.788
215,0.059722222,293.507,384.22,768.528,640.871,460.281,512.705,698.357,293.788
216,0.06,293.513,385.771,773.04,646.362,463.101,516.03,703.478,293.809
217,0.060277778,293.513,385.771,773.04,646.362,463.101,516.03,703.478,293.809
218,0.060555556,293.513,385.771,773.04,646.362,463.101,516.03,703.478,293.809
219,0.060833333,293.521,387.241,777.445,651.748,465.861,519.28,708.495,293.818
220,0.061111111,293.521,387.241,777.445,651.748,465.861,519.28,708.495,293.818
221,0.061388889,293.521,387.241,777.445,651.748,465.861,519.28,708.495,293.818
222,0.061666667,293.521,387.241,777.445,651.748,465.861,519.28,708.495,293.818
223,0.061944444,293.525,388.897,781.841,657.142,468.645,522.556,713.563,293.82
224,0.062222222,293.525,388.897,781.841,657.142,468.645,522.556,713.563,293.82
225,0.0625,293.525,388.897,781.841,657.142,468.645,522.556,713.563,293.82
226,0.062777778,293.52,390.462,785.979,662.353,471.387,525.725,718.442,293.819
227,0.063055556,293.52,390.462,785.979,662.353,471.387,525.725,718.442,293.819
228,0.063333333,293.52,390.462,785.979,662.353,471.387,525.725,718.442,293.819
229,0.063611111,293.52,390.462,785.979,662.353,471.387,525.725,718.442,293.819
230,0.063888889,293.525,392.253,790.495,667.491,474.092,528.926,723.289,293.841
231,0.064166667,293.525,392.253,790.495,667.491,474.092,528.926,723.289,293.841
232,0.064444444,293.525,392.253,790.495,667.491,474.092,528.926,723.289,293.841
233,0.064722222,293.528,393.794,794.614,672.443,476.704,532,727.982,293.855
234,0.065,293.528,393.794,794.614,672.443,476.704,532,727.982,293.855
235,0.065277778,293.528,393.794,794.614,672.443,476.704,532,727.982,293.855
236,0.065555556,293.528,393.794,794.614,672.443,476.704,532,727.982,293.855
237,0.065833333,293.529,395.274,798.327,677.432,479.336,535.117,732.697,293.849
238,0.066111111,293.529,395.274,798.327,677.432,479.336,535.117,732.697,293.849
239,0.066388889,293.529,395.274,798.327,677.432,479.336,535.117,732.697,293.849
240,0.066666667,293.532,396.747,802.153,682.373,481.97,538.222,737.381,293.861
241,0.066944444,293.532,396.747,802.153,682.373,481.97,538.222,737.381,293.861
242,0.067222222,293.532,396.747,802.153,682.373,481.97,538.222,737.381,293.861
243,0.0675,293.532,396.747,802.153,682.373,481.97,538.222,737.381,293.861
244,0.067777778,293.537,397.764,806.048,687.18,484.529,541.279,741.855,293.881
245,0.068055556,293.537,397.764,806.048,687.18,484.529,541.279,741.855,293.881
246,0.068333333,293.537,397.764,806.048,687.18,484.529,541.279,741.855,293.881
247,0.068611111,293.54,398.994,809.804,691.87,487.053,544.244,746.235,293.893
248,0.068888889,293.54,398.994,809.804,691.87,487.053,544.244,746.235,293.893
249,0.069166667,293.54,398.994,809.804,691.87,487.053,544.244,746.235,293.893
250,0.069444444,293.54,398.994,809.804,691.87,487.053,544.244,746.235,293.893
251,0.069722222,293.545,400.06,813.072,696.365,489.498,547.04,750.45,293.895
252,0.07,293.545,400.06,813.072,696.365,489.498,547.04,750.45,293.895
253,0.070277778,293.545,400.06,813.072,696.365,489.498,547.04,750.45,293.895
254,0.070555556,293.554,401.418,816.252,700.924,491.992,550.048,754.676,293.916
255,0.070833333,293.554,401.418,816.252,700.924,491.992,550.048,754.676,293.916
256,0.071111111,293.554,401.418,816.252,700.924,491.992,550.048,754.676,293.916
257,0.071388889,293.554,401.418,816.252,700.924,491.992,550.048,754.676,293.916
258,0.071666667,293.56,402.848,819.599,705.374,494.458,552.911,758.879,293.924
259,0.071944444,293.56,402.848,819.599,705.374,494.458,552.911,758.879,293.924
260,0.072222222,293.56,402.848,819.599,705.374,494.458,552.911,758.879,293.924
261,0.0725,293.548,404.172,823.135,709.584,496.803,555.627,762.806,293.921
262,0.072777778,293.548,404.172,823.135,709.584,496.803,555.627,762.806,293.921
263,0.073055556,293.548,404.172,823.135,709.584,496.803,555.627,762.806,293.921
264,0.073333333,293.548,404.172,823.135,709.584,496.803,555.627,762.806,293.921
265,0.073611111,293.557,405.528,826.627,713.837,499.157,558.462,766.847,293.933
266,0.073888889,293.557,405.528,826.627,713.837,499.157,558.462,766.847,293.933
267,0.074166667,293.557,405.528,826.627,713.837,499.157,558.462,766.847,293.933
268,0.074444444,293.56,406.878,830.189,718.053,501.531,561.296,770.895,293.947
269,0.074722222,293.56,406.878,830.189,718.053,501.531,561.296,770.895,293.947
270,0.075,293.56,406.878,830.189,718.053,501.531,561.296,770.895,293.947
271,0.075277778,293.56,406.878,830.189,718.053,501.531,561.296,770.895,293.947
272,0.075555556,293.581,408.332,833.521,722.195,503.849,564.042,774.804,293.969
273,0.075833333,293.581,408.332,833.521,722.195,503.849,564.042,774.804,293.969
274,0.076111111,293.581,408.332,833.521,722.195,503.849,564.042,774.804,293.969
275,0.076388889,293.566,409.818,836.668,726.265,506.126,566.681,778.682,293.963
276,0.076666667,293.566,409.818,836.668,726.265,506.126,566.681,778.682,293.963
277,0.076944444,293.566,409.818,836.668,726.265,506.126,566.681,778.682,293.963
278,0.077222222,293.566,409.818,836.668,726.265,506.126,566.681,778.682,293.963
279,0.0775,293.572,411.314,839.41,730.254,508.386,569.35,782.467,293.984
280,0.077777778,293.572,411.314,839.41,730.254,508.386,569.35,782.467,293.984
281,0.078055556,293.572,411.314,839.41,730.254,508.386,569.35,782.467,293.984
282,0.078333333,293.57,412.71,841.976,734.159,510.623,571.97,786.177,293.974
283,0.078611111,293.57,412.71,841.976,734.159,510.623,571.97,786.177,293.974
284,0.078888889,293.57,412.71,841.976,734.159,510.623,571.97,786.177,293.974
285,0.079166667,293.57,412.71,841.976,734.159,510.623,571.97,786.177,293.974
286,0.079444444,293.576,413.931,844.439,738.045,512.846,574.648,789.873,293.989
287,0.079722222,293.576,413.931,844.439,738.045,512.846,574.648,789.873,293.989
288,0.08,293.576,413.931,844.439,738.045,512.846,574.648,789.873,293.989
289,0.080277778,293.583,415.109,847.049,741.799,515.022,577.179,793.421,293.992
290,0.080555556,293.583,415.109,847.049,741.799,515.022,577.179,793.421,293.992
291,0.080833333,293.583,415.109,847.049,741.799,515.022,577.179,793.421,293.992
292,0.081111111,293.583,415.109,847.049,741.799,515.022,577.179,793.421,293.992
293,0.081388889,293.595,416.391,849.741,745.546,517.212,579.727,796.94,294.018
294,0.081666667,293.595,416.391,849.741,745.546,517.212,579.727,796.94,294.018
295,0.081944444,293.595,416.391,849.741,745.546,517.212,579.727,796.94,294.018
296,0.082222222,293.593,417.783,852.124,749.158,519.334,582.227,800.33,294.011
297,0.0825,293.593,417.783,852.124,749.158,519.334,582.227,800.33,294.011
298,0.082777778,293.593,417.783,852.124,749.158,519.334,582.227,800.33,294.011
299,0.083055556,293.593,417.783,852.124,749.158,519.334,582.227,800.33,294.011
300,0.083333333,293.593,420.993,854.738,752.739,521.469,584.703,803.725,294.033
301,0.083611111,293.593,420.993,854.738,752.739,521.469,584.703,803.725,294.033
302,0.083888889,293.593,420.993,854.738,752.739,521.469,584.703,803.725,294.033
303,0.084166667,293.596,423.066,857.045,756.241,523.562,587.17,807.03,294.041
304,0.084444444,293.596,423.066,857.045,756.241,523.562,587.17,807.03,294.041
305,0.084722222,293.596,423.066,857.045,756.241,523.562,587.17,807.03,294.041
306,0.085,293.596,423.066,857.045,756.241,523.562,587.17,807.03,294.041
307,0.085277778,293.605,424.725,859.165,759.623,525.61,589.552,810.175,294.05
308,0.085555556,293.605,424.725,859.165,759.623,525.61,589.552,810.175,294.05
309,0.085833333,293.605,424.725,859.165,759.623,525.61,589.552,810.175,294.05
310,0.086111111,293.607,426.096,861.481,763.017,527.666,591.991,813.393,294.061
311,0.086388889,293.607,426.096,861.481,763.017,527.666,591.991,813.393,294.061
312,0.086666667,293.607,426.096,861.481,763.017,527.666,591.991,813.393,294.061
313,0.086944444,293.607,426.096,861.481,763.017,527.666,591.991,813.393,294.061
314,0.087222222,293.609,427.533,863.832,766.347,529.707,594.335,816.511,294.068
315,0.0875,293.609,427.533,863.832,766.347,529.707,594.335,816.511,294.068
316,0.087777778,293.609,427.533,863.832,766.347,529.707,594.335,816.511,294.068
317,0.088055556,293.608,429.315,865.657,769.522,531.656,596.595,819.494,294.072
318,0.088333333,293.608,429.315,865.657,769.522,531.656,596.595,819.494,294.072
319,0.088611111,293.608,429.315,865.657,769.522,531.656,596.595,819.494,294.072
320,0.088888889,293.608,429.315,865.657,769.522,531.656,596.595,819.494,294.072
321,0.089166667,293.62,430.623,867.754,772.676,533.608,598.883,822.431,294.096
322,0.089444444,293.62,430.623,867.754,772.676,533.608,598.883,822.431,294.096
323,0.089722222,293.62,430.623,867.754,772.676,533.608,598.883,822.431,294.096
324,0.09,293.622,432.002,869.866,775.746,535.526,601.096,825.297,294.087
325,0.090277778,293.622,432.002,869.866,775.746,535.526,601.096,825.297,294.087
326,0.090555556,293.622,432.002,869.866,775.746,535.526,601.096,825.297,294.087
327,0.090833333,293.625,433.739,871.693,778.764,537.436,603.278,828.131,294.111
328,0.091111111,293.625,433.739,871.693,778.764,537.436,603.278,828.131,294.111
329,0.091388889,293.625,433.739,871.693,778.764,537.436,603.278,828.131,294.111
330,0.091666667,293.625,433.739,871.693,778.764,537.436,603.278,828.131,294.111
331,0.091944444,293.625,435.044,873.666,781.788,539.333,605.554,830.964,294.117
332,0.092222222,293.625,435.044,873.666,781.788,539.333,605.554,830.964,294.117
333,0.0925,293.625,435.044,873.666,781.788,539.333,605.554,830.964,294.117
334,0.092777778,293.632,436.801,875.561,784.735,541.215,607.712,833.727,294.13
335,0.093055556,293.632,436.801,875.561,784.735,541.215,607.712,833.727,294.13
336,0.093333333,293.632,436.801,875.561,784.735,541.215,607.712,833.727,294.13
337,0.093611111,293.632,436.801,875.561,784.735,541.215,607.712,833.727,294.13
338,0.093888889,293.642,438.276,877.519,787.665,543.083,609.88,836.452,294.128
339,0.094166667,293.642,438.276,877.519,787.665,543.083,609.88,836.452,294.128
340,0.094444444,293.642,438.276,877.519,787.665,543.083,609.88,836.452,294.128
341,0.094722222,293.631,439.749,879.035,790.437,544.876,611.931,839.022,294.136
342,0.095,293.631,439.749,879.035,790.437,544.876,611.931,839.022,294.136
343,0.095277778,293.631,439.749,879.035,790.437,544.876,611.931,839.022,294.136
344,0.095555556,293.631,439.749,879.035,790.437,544.876,611.931,839.022,294.136
345,0.095833333,293.641,441.131,880.602,793.186,546.662,613.958,841.612,294.143
346,0.096111111,293.641,441.131,880.602,793.186,546.662,613.958,841.612,294.143
347,0.096388889,293.641,441.131,880.602,793.186,546.662,613.958,841.612,294.143
