variant,simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
initial_2D_model,E68,5.2875,95.9,1720.8958178709402,1721.3157500968098,257.5465899699199
initial_2D_model,E68,5.2875,105.03333333333335,1721.5288250511198,1720.9486509386384,257.5650288513488
initial_2D_model,E68,5.2875,114.16666666666667,1722.7872270059383,1721.4558375061063,257.6874630678973
initial_2D_model,E68,5.2875,123.30000000000001,1724.5163276685091,1722.619827025932,257.88809413566224
initial_2D_model,E68,5.2875,132.4333333333333,1726.6042827777558,1724.2780896819845,258.14790709449596
initial_2D_model,E68,8.8125,4.566666666666666,1759.2369088199482,298.7555,239.60433604798567
initial_2D_model,E68,8.8125,13.700000000000001,1759.199312161969,1482.0258736424623,243.66490975868123
initial_2D_model,E68,8.8125,22.833333333333336,1745.6891193037472,1700.4385800761613,257.8181579396507
initial_2D_model,E68,8.8125,31.966666666666665,1733.8955345505447,1736.613779903949,259.50941377283607
initial_2D_model,E68,8.8125,41.099999999999994,1725.4301436904748,1734.4375495743395,258.7711511057313
initial_2D_model,E68,8.8125,50.233333333333334,1719.8605713221255,1727.2307142462396,257.8849824366924
initial_2D_model,E68,8.8125,59.36666666666667,1716.5615713256186,1721.3383655061705,257.24762434984325
initial_2D_model,E68,8.8125,68.5,1714.991184692277,1717.5215111428834,256.8741210224865
initial_2D_model,E68,8.8125,77.63333333333333,1714.7132169257018,1715.5003487244342,256.71473544299636
initial_2D_model,E68,8.8125,86.76666666666667,1715.383666664522,1714.87169700211,256.717632975387
initial_2D_model,E68,8.8125,95.9,1716.735763438036,1715.280588432346,256.8397115194798
initial_2D_model,E68,8.8125,105.03333333333335,1718.5679266615557,1716.4429105943645,257.04731362388287
initial_2D_model,E68,8.8125,114.16666666666667,1720.7342306931116,1718.1405834058835,257.3152189880386
initial_2D_model,E68,8.8125,123.30000000000001,1723.1364083236174,1720.2131379694995,257.6255016892968
initial_2D_model,E68,8.8125,132.4333333333333,1725.7164785853379,1722.5497297286752,257.96646499319434
initial_2D_model,E68,12.3375,4.566666666666666,1701.7611209343386,298.7555,235.8104514491996
initial_2D_model,E68,12.3375,13.700000000000001,1707.2068550430824,1352.0045838557578,231.2522451075666
initial_2D_model,E68,12.3375,22.833333333333336,1702.9235391531738,1606.7602900951536,248.37759385643412
initial_2D_model,E68,12.3375,31.966666666666665,1699.7465767685155,1677.430924811505,253.04116479969178
initial_2D_model,E68,12.3375,41.099999999999994,1698.5667915878432,1693.921761349794,254.10101295909973
initial_2D_model,E68,12.3375,50.233333333333334,1698.996403608431,1697.3584289041582,254.3687355312014
initial_2D_model,E68,12.3375,59.36666666666667,1700.5890239351734,1698.5706579187838,254.56298147046965
initial_2D_model,E68,12.3375,68.5,1702.9779622512644,1700.0647253194998,254.83192431158608
initial_2D_model,E68,12.3375,77.63333333333333,1705.874501539129,1702.221843277825,255.18200009949038
initial_2D_model,E68,12.3375,86.76666666666667,1709.0553529615154,1704.9274981835122,255.589840029349
initial_2D_model,E68,12.3375,95.9,1712.3534081879668,1707.9864929163753,256.0303632270531
initial_2D_model,E68,12.3375,105.03333333333335,1715.6516845742954,1711.2241691698164,256.4833681834475
initial_2D_model,E68,12.3375,114.16666666666667,1718.879317307192,1714.5083477680473,256.93478014328116
initial_2D_model,E68,12.3375,123.30000000000001,1722.0085636330227,1717.7521147299374,257.37664315077905
initial_2D_model,E68,12.3375,132.4333333333333,1725.0517694532261,1720.9123402338926,257.8068131710522
initial_2D_model,E68,15.862499999999999,4.566666666666666,1642.3973420790594,298.7555,231.86411492786763
initial_2D_model,E68,15.862499999999999,13.700000000000001,1654.7328790049025,1242.155627125676,220.36315124244814
initial_2D_model,E68,15.862499999999999,22.833333333333336,1660.059713020785,1513.7455879283689,239.04525781652185
initial_2D_model,E68,15.862499999999999,31.966666666666665,1665.766806746362,1613.3117677811615,246.26827409330122
initial_2D_model,E68,15.862499999999999,41.099999999999994,1672.191447612616,1649.3951503391236,249.1989136258842
initial_2D_model,E68,15.862499999999999,50.233333333333334,1678.9588009453366,1665.139960841364,250.75368284014456
initial_2D_model,E68,15.862499999999999,59.36666666666667,1685.7573130839266,1674.7039267885466,251.88478058355892
initial_2D_model,E68,15.862499999999999,68.5,1692.3682318160145,1682.3651017114757,252.87203456746033
initial_2D_model,E68,15.862499999999999,77.63333333333333,1698.6352917766678,1689.3069903479316,253.78625156328516
initial_2D_model,E68,15.862499999999999,86.76666666666667,1704.4467622117386,1695.7879066331386,254.63743315993992
