variant,simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
fitted_2D_model,E81,5.2875,59.36666666666667,965.6836289942966,988.5971054015014,160.62143485035557
fitted_2D_model,E81,5.2875,68.5,947.9907451527195,966.1033395510385,158.14383256194637
fitted_2D_model,E81,5.2875,77.63333333333333,933.3104655009749,948.3385131088988,156.14117087421627
fitted_2D_model,E81,5.2875,86.76666666666667,920.8896940846107,933.6102251685446,154.46317052200868
fitted_2D_model,E81,5.2875,95.9,910.4463428090335,921.1516814281122,153.04571131868698
fitted_2D_model,E81,5.2875,105.03333333333335,901.943136891454,910.672882419229,151.8692764149503
fitted_2D_model,E81,5.2875,114.16666666666667,895.4772845016445,902.1320800370765,150.93807774770136
fitted_2D_model,E81,5.2875,123.30000000000001,891.2326895170354,895.6239145995395,150.27017029028283
fitted_2D_model,E81,5.2875,132.4333333333333,889.4651465385056,891.3306941851173,149.89344437722477
fitted_2D_model,E81,8.8125,4.566666666666666,1255.0184163292577,297.84499999999997,135.52796317946223
fitted_2D_model,E81,8.8125,13.700000000000001,1181.914388760893,1192.076224946916,186.61873318245566
fitted_2D_model,E81,8.8125,22.833333333333336,1102.6300787461707,1182.2273740957519,181.04815291438936
fitted_2D_model,E81,8.8125,31.966666666666665,1047.54630188011,1105.2910734564757,172.8613181191834
fitted_2D_model,E81,8.8125,41.099999999999994,1010.5133742220454,1049.7234518075838,167.1485614606328
fitted_2D_model,E81,8.8125,50.233333333333334,984.1063543270656,1012.1209803408577,163.20558322411978
fitted_2D_model,E81,8.8125,59.36666666666667,963.7746797316845,985.3233966704553,160.30204599153396
fitted_2D_model,E81,8.8125,68.5,947.1167245037134,964.7516427702371,158.00652878560007
fitted_2D_model,E81,8.8125,77.63333333333333,932.9652068007622,947.9437311617407,156.09546079101372
fitted_2D_model,E81,8.8125,86.76666666666667,920.8141506515965,933.6877230244755,154.4632914048203
fitted_2D_model,E81,8.8125,95.9,910.5040639024465,921.4502926751749,153.06778107289094
fitted_2D_model,E81,8.8125,105.03333333333335,902.057565406135,911.0562611091675,151.9001486575142
fitted_2D_model,E81,8.8125,114.16666666666667,895.5990213763382,902.5194487401548,150.96968653603585
fitted_2D_model,E81,8.8125,123.30000000000001,891.3228834735175,895.9591772955381,150.29660868083127
fitted_2D_model,E81,8.8125,132.4333333333333,889.4912605496855,891.5665962785025,149.90973482961198
fitted_2D_model,E81,12.3375,4.566666666666666,1138.7939883050294,297.84499999999997,127.98396489318066
fitted_2D_model,E81,12.3375,13.700000000000001,1108.6662064195025,1045.6051391476838,172.94992750736586
