simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
E75,11.865,112.33999999999999,882.1453699451956,914.3231398453316,137.65206291428936
E75,11.865,117.82000000000001,852.0483245475457,884.0284633773352,134.37073243826455
E75,11.865,123.30000000000001,822.3637668538985,854.0325655307074,131.07085308744664
E75,11.865,128.78,793.215458128786,824.4484931638739,127.76533108995103
E75,11.865,134.26,764.7416075431719,795.3979225739561,124.46937590851681
E75,15.254999999999999,2.7399999999999998,1473.8539186404162,296.71049999999997,204.86585363353169
E75,15.254999999999999,8.22,1466.0511836308087,1456.7280027712804,190.67481927635586
E75,15.254999999999999,13.700000000000001,1433.8897714408874,1465.8311000079839,189.71185071507134
E75,15.254999999999999,19.18,1397.569701136364,1434.6560457175503,186.86910796733738
E75,15.254999999999999,24.66,1362.7502103698712,1398.5028241342156,183.84023216321418
E75,15.254999999999999,30.14,1330.296567536089,1363.696663021006,180.93090765583597
E75,15.254999999999999,35.62,1299.7110105062661,1331.2250198977702,178.16772392394384
E75,15.254999999999999,41.099999999999994,1270.281282226313,1300.6287108712984,175.50418921210195
E75,15.254999999999999,46.58,1241.4151135690402,1271.2055777339503,172.8856879275128
E75,15.254999999999999,52.06,1212.6977545850168,1242.363459442837,170.26795354473367
E75,15.254999999999999,57.54,1183.8675964744052,1213.6849028404495,167.61967285984565
E75,15.254999999999999,63.019999999999996,1154.7769663212725,1184.9053830302848,164.9204519267379
E75,15.254999999999999,68.5,1125.3581659184233,1155.8748575852226,162.1580585457494
E75,15.254999999999999,73.97999999999999,1095.5985104318434,1126.5238870448516,159.3261074269805
E75,15.254999999999999,79.46000000000001,1065.5231704970763,1096.8385478378277,156.42238425608463
E75,15.254999999999999,84.93999999999998,1035.1836495415675,1066.8431164433912,153.4477097789417
E75,15.254999999999999,90.42,1004.6499914539014,1036.588412140189,150.40519062894245
E75,15.254999999999999,95.90000000000002,974.005345813317,1006.1439039213386,147.2997248857881
E75,15.254999999999999,101.38,943.3420183711361,975.5922039981064,144.13766847769784
E75,15.254999999999999,106.86000000000001,912.7585445833143,945.0250662649446,140.92660570633376
E75,15.254999999999999,112.33999999999999,882.3576740178833,914.5404161496521,137.67520139939163
E75,15.254999999999999,117.82000000000001,852.2455169004518,884.2402843212843,134.39314869700044
E75,15.254999999999999,123.30000000000001,822.5325767070269,854.2298701407302,131.09127503533395
E75,15.254999999999999,128.78,793.3379674262969,824.6184122220665,127.78193631368883
E75,15.254999999999999,134.26,764.798030611163,795.5230874312249,124.47987403267052
E75,18.645000000000003,2.7399999999999998,1417.0495810362984,296.71049999999997,201.52611071645572
E75,18.645000000000003,8.22,1421.8479152740972,1399.8134309992442,186.42086571275632
E75,18.645000000000003,13.700000000000001,1403.1550990061075,1421.2893268083005,186.5390380092345
E75,18.645000000000003,19.18,1377.452053438485,1403.6139033710374,184.68995698013623
E75,18.645000000000003,24.66,1350.0747003355098,1378.134811277024,182.41575228457575
E75,18.645000000000003,30.14,1322.525874645611,1350.8354943713318,180.0306710424099
