variant,simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
initial_apparent_nu,E76,heating,T12_minus_T8,233.44233132955137,-248.3650218756345,0.0,0.009570109163351123
initial_apparent_nu,E76,heating,T11_minus_T8,215.5700652862112,-238.60290217665374,0.0,0.002316973865270072
initial_apparent_nu,E77,heating,T8,121.15432264762592,111.76970321552437,-500.0,0.0037882636505253467
initial_apparent_nu,E77,heating,T12_wall,90.80170243059672,-104.24534287079007,-400.0,0.00012963391450647888
initial_apparent_nu,E77,heating,T11_wall,105.06846980945723,-126.80639307294615,-300.0,0.00015002398571989215
initial_apparent_nu,E77,heating,T3,67.03596245592922,-95.2324344223398,-1150.0,0.0003205214114982454
initial_apparent_nu,E77,heating,T2,2.9770991707010412,2.578897021179216,-191.0,0.0009949210667842528
initial_apparent_nu,E77,heating,T12_minus_T8,207.06013173243937,-216.01504608631444,0.0,0.06475019651610103
initial_apparent_nu,E77,heating,T11_minus_T8,221.10304343570442,-238.57609628847052,0.0,0.16143059993281897
initial_apparent_nu,E78,heating,T8,116.27093648968376,112.12019405125704,-450.0,0.0012600015727257997
initial_apparent_nu,E78,heating,T12_wall,105.36661764973252,-118.282966154924,-300.0,5.585049361289018e-5
initial_apparent_nu,E78,heating,T11_wall,110.50945180423115,-131.76076871625537,-200.0,3.980054747324919e-5
initial_apparent_nu,E78,heating,T3,80.37371613235335,-108.16721322337548,-1400.0,0.00015082782701297275
initial_apparent_nu,E78,heating,T2,1.7111767402430653,-0.35614378193952234,-50.0,1.6000413301150265e-5
initial_apparent_nu,E78,heating,T12_minus_T8,217.44719554299678,-230.40316020618104,0.0,0.027583507126011327
initial_apparent_nu,E78,heating,T11_minus_T8,221.86288793391398,-243.88096276751241,0.0,0.019361800846163697
initial_apparent_nu,E79,heating,T8,112.08331812491731,106.10071928129776,-450.0,0.0011805270795986734
initial_apparent_nu,E79,heating,T12_wall,106.09484187392971,-119.5822496556001,-350.0,6.0055756897985647e-5
initial_apparent_nu,E79,heating,T11_wall,100.26139807617218,-123.14573156590541,-300.0,3.2856793617129355e-5
initial_apparent_nu,E79,heating,T3,78.13474334958661,-108.46906744234275,-1600.0,0.00016322697575542306
initial_apparent_nu,E79,heating,T2,2.3759079916172023,0.14835807159926162,-200.0,3.549433192526086e-5
initial_apparent_nu,E79,heating,T12_minus_T8,211.6995074190899,-225.68296893689785,0.0,0.04709061397660013
