%z[mm]	ϕ=0.1	ϕ=0.3	ϕ=0.5	ϕ=0.7	ϕ=0.9
192.0	676.6037990055996	761.2579267121498	795.4335620174139	796.0440694767339	804.7330961653234
193.0	676.3320884045667	760.1785454815839	794.1058828900777	794.5756153179797	803.1729939305102
194.0	676.0603778035337	759.1144661572202	792.7860643967402	793.1424513183841	801.6228855150471
195.0	675.7886672025008	758.0503868328565	791.4898278053987	791.7095358410361	800.0768046852751
196.0	675.5169566014679	756.9863075084927	790.193591214057	790.2837739032875	798.558111438202
197.0	675.245246000435	755.9455691129336	788.9013557568953	788.8873925746072	797.0394181911289
198.0	674.9820696288909	754.9146584768712	787.6371282389923	787.491011245927	795.5444692826377
199.0	674.7231603720913	753.8837478408087	786.3729007210891	786.107767093718	794.0678682721414
200.0	674.4642511152917	752.8528372047464	785.1086732031861	784.7443439446064	792.5912672616452
201.0	674.2053418584923	751.8496316812437	783.8743137809275	783.3809207954947	791.1655240940968
202.0	673.9464326016927	750.8464261577411	782.6399543586688	782.0417426664833	789.7397809265481
203.0	673.688782936147	749.8432206342385	781.4055949364102	780.7186339112591	788.3346174882176
204.0	673.4336524531092	748.8462980686528	780.199566905805	779.3955251560349	786.9560866406401
205.0	673.1785219700714	747.8642975281197	778.9975862168643	778.1002784380083	785.5775557930626
206.0	672.9233914870337	746.8822969875863	777.7956055279236	776.8118155203426	784.2311659514885
207.0	672.6682610039959	745.900296447053	776.6168034150783	775.5236012967272	782.8895027284439
208.0	672.4131305209581	744.9399657378725	775.4457274942646	774.2707016282287	781.5579676892899
209.0	672.1697152468101	743.9945330377469	774.274651573451	773.0178019597301	780.2492210638892
210.0	671.9262999726623	743.0491003376212	773.1220319779229	771.7710470729418	778.9404744384885
211.0	671.6828846985144	742.1036676374956	771.980486177566	770.547437530595	777.6580466614923
212.0	671.4394694243664	741.1774734595066	770.838940377209	769.323827988248	776.384694349463
213.0	671.1960541502184	740.2536840967846	769.7114761654927	768.113658806358	775.1181988304901
214.0	670.9559777664296	739.3298947340627	768.598093542417	766.922625052915	773.8830486512041
215.0	670.7175708278202	738.4087660522856	767.4847109193413	765.7315912994719	772.6478984719182
216.0	670.4791638892108	737.499344366666	766.3823082814223	764.5604762981502	771.4333122818095
217.0	670.2407569506014	736.5899226810463	765.2982056187643	763.4018105169042	770.2315785849366
218.0	670.002350011992	735.6805009954267	764.2141029561062	762.2431447356582	769.0311331777883
219.0	669.766054957281	734.7883109262476	763.1366704818377	761.1087385015477	767.854521130544
220.0	669.5339836703662	733.9146779824661	762.0792485727368	759.9797232779115	766.6779090832995
221.0	669.3019123834515	733.0410450386844	761.0218266636359	758.851383689853	765.5115381825461
222.0	669.0698410965367	732.1674120949029	759.9676798039446	757.7545737620841	764.3559474359938
223.0	668.837769809622	731.3089949089913	758.9364582901211	756.657763834315	763.2003566894416
224.0	668.6056985227073	730.454925082471	757.9052367762974	755.5674765501095	762.0662198080418
225.0	668.3818132088993	729.6008552559508	756.8740152624738	754.4998146857648	760.9338707487378
226.0	668.1579278950913	728.7486215492322	755.8697483301377	753.43215282142	759.8176114661587
227.0	667.9340425812834	727.9193393400337	754.8654813978014	752.3781933583095	758.7300839277307
228.0	667.7101572674754	727.0900571308352	753.8612144654652	751.3426535165305	757.6425563893026
229.0	667.4862719536675	726.2607749216368	752.8791434941545	750.3071136747512	756.5758741392258
230.0	667.2702658213557	725.4410442956183	751.9002433744189	749.2886965828737	755.5145713184008
231.0	667.0581992797919	724.6375513610062	750.9213432546833	748.2803628881605	754.4563025098658
232.0	666.8461327382281	723.8340584263941	749.9609252638232	747.2720291934473	753.4081470756308
233.0	666.6340661966644	723.030565491782	749.0066679825883	746.2837854822715	752.3599916413957
234.0	666.4219996551006	722.2411114876513	748.0524107013532	745.2995935324814	751.3206516724462
235.0	666.212266106823	721.4586769487612	747.1130947048232	744.3163773451585	750.2857194361393
236.0	666.007198545118	720.6762424098711	746.1827434791162	743.3600922019336	749.2534820909788
237.0	665.802130983413	719.8938078709809	745.2523922534091	742.4038070587087	748.2448250433496
238.0	665.597063421708	719.137364205809	744.3344963469773	741.4538925781743	747.2361679957203
239.0	665.3919958600028	718.3819201896262	743.4290557598208	740.5244016927358	746.2462364947758
240.0	665.1869282982977	717.6264761734433	742.5236151726643	739.5949108072972	745.2723554624179
241.0	664.9882061311098	716.8755631215614	741.626792452185	738.6759474114878	744.29847443006
242.0	664.7894839639217	716.1375956819682	740.7443328428341	737.770352256477	743.3486490427562
243.0	664.5907617967338	715.3996282423748	739.8618732334832	736.8647571014662	742.3994566987433
244.0	664.3920396295457	714.6616608027815	738.9859895185322	735.9760797539514	741.4590341441582
245.0	664.1933174623578	713.9385091697325	738.1298334867813	735.0967807562439	740.5312181618754
246.0	663.9990813177827	713.2272101819187	737.2736774550302	734.2174817585365	739.6034021795925
247.0	663.8070881845143	712.5159111941049	736.4206837127389	733.3597031438392	738.6997406187802
248.0	663.6150950512458	711.8046122062912	735.5898259966652	732.5058373260525	737.8004707709622
249.0	663.4231019179774	711.1104606567163	734.7589682805914	731.6533043784673	736.9130886238022
250.0	663.2311087847089	710.4192912703136	733.9281105645177	730.8266671947896	736.0559660783165
251.0	663.0423435248904	709.7281218839108	733.113771996094	730.0000300111118	735.1988435328307
252.0	662.8600340119717	709.0400938220264	732.29943342767	729.1785837936349	734.351441756144
253.0	662.677724499053	708.3701283761225	731.4850948592461	728.3725662812543	733.5078588529138
254.0	662.4954149861344	707.7001629302184	730.6924897293197	727.5665487688736	732.6661151019255
255.0	662.3131054732156	707.0301974843145	729.9029893763212	726.7698128841336	731.8344866882666
256.0	662.130795960297	706.3688321134885	729.1134890233229	725.984214952562	731.0028582746075
257.0	661.9492365117749	705.7182168365099	728.3399307331725	725.1986170209904	730.1807937688607
258.0	661.7676770632527	705.0676015595312	727.5716864639714	724.4271061326433	729.3653824164439
259.0	661.5861176147305	704.4169862825526	726.8034421947704	723.6629384902324	728.5503798902281
260.0	661.4045581662083	703.7821414043865	726.0488821616423	722.8987708478214	727.7509127596458
261.0	661.2229987176861	703.1528161658049	725.3025326701578	722.15436099942	726.9514456290633
262.0	661.0489746816934	702.5234909272233	724.5561831786735	721.4131638004509	726.1662311636426
263.0	660.8787183519654	701.8949315718066	723.8203938512798	720.673357223293	725.3976448075771
264.0	660.7084620222374	701.2862851786778	723.0951646879771	719.9542554597696	724.6290584515115
265.0	660.5382056925093	700.677638785549	722.3699355246744	719.2351536962461	723.8796574300816
266.0	660.3679493627814	700.0689923924201	721.6528012599372	718.5217470411316	723.132449018324
267.0	660.1996218981219	699.4672694754399	720.9491584928095	717.8240768697785	722.3909818780846
