f_side,simulation_id,flow_lpm,irradiance,T8_model,T8_experiment,T12_side_model,T12_side_experiment,T11_side_model,T11_side_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_cavity_heat,core_side_heat,flange_heat_loss
0.05,E79,8.033490566037736,256000.0,621.752303860442,676.213,574.7733208497733,716.108,522.1392395459857,622.325,579.7819667786521,694.063,526.5744494385854,595.766,493.9801913463061,560.0329999999999,313.012453553806,314.96,-5.008645928878764,22.04499999999996,-4.435209892599687,26.559000000000083,12.525715456318382,0.9991136760474226,32.204150540682384,20.54575697139928,25.595494050405406,16.464618823653996
0.05,E80,6.605050847457628,256000.0,660.3206067667677,710.3340000000001,601.3235301808633,735.351,538.7223117888169,626.4849999999999,606.759896589163,713.233,543.3456567041003,601.77,507.06900330377107,561.2539999999999,313.45762746014736,316.11899999999997,-5.436366408299705,22.118000000000052,-4.623344915283383,24.714999999999918,7.102200387147667,0.9932082683601965,28.247658225612557,22.578212664315796,28.928674828169722,17.32900229693904
0.05,E81,4.527140495867768,256000.0,731.5433300749953,760.0609999999999,646.6407849728859,749.902,564.6197367164115,618.9749999999999,652.6813120549629,728.5039999999999,569.4365820774433,597.766,526.6773355295114,550.499,317.9961652086744,319.315,-6.040527082077006,21.39800000000014,-4.816845361031824,21.208999999999946,2.439058356738049,0.9273496299270576,21.145214612009077,25.75396857766854,34.89675595813894,18.17555533530391
0.1,E67,15.2805125,456000.0,885.9151547975626,931.6279999999999,833.8035717926172,991.103,765.3984532224919,878.055,843.677580207105,966.6659999999999,776.0109645488336,824.995,709.2898878545524,763.414,321.3015019178665,326.43699999999995,-9.87400841448789,24.437000000000012,-10.612511326341746,53.059999999999945,35.79331021669232,0.9999977722911124,130.42308521596445,40.55238224915908,43.218594608765784,34.88951978422769
0.1,E68,12.499871559633025,456000.0,972.9319486935934,1012.649,909.304202797923,1047.717,823.917851094384,898.751,920.3657910637917,1020.928,835.1097880122683,850.0989999999999,760.9942324679113,773.207,332.08422718547143,338.52,-11.061588265868636,26.7890000000001,-11.191936917884277,48.652000000000044,18.84114632295448,0.9998496134024651,119.99771175674904,45.51776727021015,53.6123551161549,39.59671564055767
0.1,E69,10.499733944954128,456000.0,1047.246492501185,1058.429,970.7788462092012,1070.73,866.5507061888987,896.755,982.8110678145247,1044.378,878.2173962220953,852.837,794.723096335505,769.76,342.1411172698429,344.308,-12.032221605323457,26.35200000000009,-11.666690033196573,43.918000000000006,11.04578471876574,0.9982645473888881,109.24506171825088,49.33522976886054,63.470188020491285,41.919595008364766
0.1,E70,9.107139705882352,456000.0,1107.7294324070713,1152.474,1018.6486983272292,1120.277,898.7426331605352,912.173,1031.516800112743,1093.725,910.7605587142624,871.483,821.6104279531228,779.518,342.6775693029205,352.421,-12.868101785513886,26.552000000000135,-12.017925553727196,40.690000000000055,7.1441512115478245,0.9924023572991014,99.80378484574395,52.937258147058095,72.61361847603565,43.750824980850375
0.1,E71,7.126846153846151,456000.0,1204.343841066435,1203.298,1090.0335344792406,1120.348,940.1772814962158,882.823,1104.0370584813352,1095.306,952.5632496459139,847.476,852.0893124242154,753.56,348.91567749766324,356.00399999999996,-14.003524002094537,25.041999999999916,-12.385968149698101,35.34699999999998,3.49916024922314,0.9579122559826105,83.4249897503332,57.74731534093945,87.89628748341885,44.85152988064675
0.1,E72,18.707575757575754,304000.0,660.493452510174,737.656,626.3370387253253,797.899,586.6809762030721,733.977,632.5607392898917,771.112,593.5806644742142,684.1869999999999,554.4398860052312,652.9549999999999,309.0987404228025,309.928,-6.223700564566343,26.787000000000035,-6.899688271142168,49.79000000000008,87.24850783406048,0.9999999998441393,96.32431746680084,25.2293807805144,22.54606915369889,21.443338593778055
0.1,E73,13.170870967741934,304000.0,765.4900344479582,837.694,716.6720291041162,894.482,656.8840518496296,791.76,724.3290784393148,867.5509999999999,664.6374131860434,747.4,614.8750595186901,694.626,321.38015986683104,325.12,-7.6570493351986215,26.93100000000004,-7.753361336413832,44.360000000000014,30.930380683571073,0.9999939596283127,85.75957464736345,31.231143095241112,32.128975551617174,27.149391548364193
